Разъем;Вывод;Вывод
;1;5, 25, 125, 164, 184, 284, 323, 343, 443, 482, 502, 602, 641, 661, 761
;2;10, 12, 50, 60, 169, 209, 219, 328, 368, 378, 487, 527, 537, 646, 686, 696
;3;15, 75, 174, 234, 333, 393, 492, 552, 651, 711
;4;20, 100, 179, 259, 338, 418, 497, 577, 656, 736
;5;1, 25, 125, 164, 184, 284, 323, 343, 443, 482, 502, 602, 641, 661, 761
;6;30, 150, 189, 309, 348, 468, 507, 627, 666, 786
;7;8, 35, 40, 194, 199, 353, 358, 512, 517, 671, 676
;8;7, 35, 40, 194, 199, 353, 358, 512, 517, 671, 676
;9;45, 204, 363, 522, 681
;10;2, 12, 50, 60, 169, 209, 219, 328, 368, 378, 487, 527, 537, 646, 686, 696
;11;55, 214, 373, 532, 691
;12;2, 10, 50, 60, 169, 209, 219, 328, 368, 378, 487, 527, 537, 646, 686, 696
;13;65, 224, 383, 542, 701
;14;70, 229, 388, 547, 706
;15;3, 75, 174, 234, 333, 393, 492, 552, 651, 711
;16;80, 239, 398, 557, 716
;17;24, 85, 120, 244, 279, 403, 438, 562, 597, 721, 756
;18;90, 249, 408, 567, 726
;19;95, 254, 413, 572, 731
;20;4, 100, 179, 259, 338, 418, 497, 577, 656, 736
;21;105, 264, 423, 582, 741
;22;110, 269, 428, 587, 746
;23;115, 274, 433, 592, 751
;24;17, 85, 120, 244, 279, 403, 438, 562, 597, 721, 756
;25;1, 5, 125, 164, 184, 284, 323, 343, 443, 482, 502, 602, 641, 661, 761
;26;130, 289, 448, 607, 766
;27;135, 294, 453, 612, 771
;28;140, 299, 458, 617, 776
;29;145, 304, 463, 622, 781
;30;6, 150, 189, 309, 348, 468, 507, 627, 666, 786
;31;155, 314, 473, 632, 791
;32;160, 319, 478, 637, 796
;33;
;34;
;35;7, 8, 40, 194, 199, 353, 358, 512, 517, 671, 676
;36;
;37;
;38;
;39;
;40;7, 8, 35, 194, 199, 353, 358, 512, 517, 671, 676
;41;
;42;
;43;
;44;
;45;9, 204, 363, 522, 681
;46;
;47;
;48;
;49;
;50;2, 10, 12, 60, 169, 209, 219, 328, 368, 378, 487, 527, 537, 646, 686, 696
;51;
;52;
;53;
;54;
;55;11, 214, 373, 532, 691
;56;
;57;
;58;
;59;
;60;2, 10, 12, 50, 169, 209, 219, 328, 368, 378, 487, 527, 537, 646, 686, 696
;61;
;62;
;63;
;64;
;65;13, 224, 383, 542, 701
;66;
;67;
;68;
;69;
;70;14, 229, 388, 547, 706
;71;
;72;
;73;
;74;
;75;3, 15, 174, 234, 333, 393, 492, 552, 651, 711
;76;
;77;
;78;
;79;
;80;16, 239, 398, 557, 716
;81;
;82;
;83;
;84;
;85;17, 24, 120, 244, 279, 403, 438, 562, 597, 721, 756
;86;
;87;
;88;
;89;
;90;18, 249, 408, 567, 726
;91;
;92;
;93;
;94;
;95;19, 254, 413, 572, 731
;96;
;97;
;98;
;99;
;100;4, 20, 179, 259, 338, 418, 497, 577, 656, 736
;101;
;102;
;103;
;104;
;105;21, 264, 423, 582, 741
;106;
;107;
;108;
;109;
;110;22, 269, 428, 587, 746
;111;
;112;
;113;
;114;
;115;23, 274, 433, 592, 751
;116;
;117;
;118;
;119;
;120;17, 24, 85, 244, 279, 403, 438, 562, 597, 721, 756
;121;
;122;
;123;
;124;
;125;1, 5, 25, 164, 184, 284, 323, 343, 443, 482, 502, 602, 641, 661, 761
;126;
;127;
;128;
;129;
;130;26, 289, 448, 607, 766
;131;
;132;
;133;
;134;
;135;27, 294, 453, 612, 771
;136;
;137;
;138;
;139;
;140;28, 299, 458, 617, 776
;141;
;142;
;143;
;144;
;145;29, 304, 463, 622, 781
;146;
;147;
;148;
;149;
;150;6, 30, 189, 309, 348, 468, 507, 627, 666, 786
;151;
;152;
;153;
;154;
;155;31, 314, 473, 632, 791
;156;
;157;
;158;
;159;
;160;32, 319, 478, 637, 796
;161;
;162;
;163;
;164;1, 5, 25, 125, 184, 284, 323, 343, 443, 482, 502, 602, 641, 661, 761
;165;
;166;
;167;
;168;
;169;2, 10, 12, 50, 60, 209, 219, 328, 368, 378, 487, 527, 537, 646, 686, 696
;170;
;171;
;172;
;173;
;174;3, 15, 75, 234, 333, 393, 492, 552, 651, 711
;175;
;176;
;177;
;178;
;179;4, 20, 100, 259, 338, 418, 497, 577, 656, 736
;180;
;181;
;182;
;183;
;184;1, 5, 25, 125, 164, 284, 323, 343, 443, 482, 502, 602, 641, 661, 761
;185;
;186;
;187;
;188;
;189;6, 30, 150, 309, 348, 468, 507, 627, 666, 786
;190;
;191;
;192;
;193;
;194;7, 8, 35, 40, 199, 353, 358, 512, 517, 671, 676
;195;
;196;
;197;
;198;
;199;7, 8, 35, 40, 194, 353, 358, 512, 517, 671, 676
;200;
;201;
;202;
;203;
;204;9, 45, 363, 522, 681
;205;
;206;
;207;
;208;
;209;2, 10, 12, 50, 60, 169, 219, 328, 368, 378, 487, 527, 537, 646, 686, 696
;210;
;211;
;212;
;213;
;214;11, 55, 373, 532, 691
;215;
;216;
;217;
;218;
;219;2, 10, 12, 50, 60, 169, 209, 328, 368, 378, 487, 527, 537, 646, 686, 696
;220;
;221;
;222;
;223;
;224;13, 65, 383, 542, 701
;225;
;226;
;227;
;228;
;229;14, 70, 388, 547, 706
;230;
;231;
;232;
;233;
;234;3, 15, 75, 174, 333, 393, 492, 552, 651, 711
;235;
;236;
;237;
;238;
;239;16, 80, 398, 557, 716
;240;
;241;
;242;
;243;
;244;17, 24, 85, 120, 279, 403, 438, 562, 597, 721, 756
;245;
;246;
;247;
;248;
;249;18, 90, 408, 567, 726
;250;
;251;
;252;
;253;
;254;19, 95, 413, 572, 731
;255;
;256;
;257;
;258;
;259;4, 20, 100, 179, 338, 418, 497, 577, 656, 736
;260;
;261;
;262;
;263;
;264;21, 105, 423, 582, 741
;265;
;266;
;267;
;268;
;269;22, 110, 428, 587, 746
;270;
;271;
;272;
;273;
;274;23, 115, 433, 592, 751
;275;
;276;
;277;
;278;
;279;17, 24, 85, 120, 244, 403, 438, 562, 597, 721, 756
;280;
;281;
