Разъем;Вывод;Вывод
XS1(1);1;
XS1(3);2;148
XS1(5);3;149
XS1(7);4;147
XS1(9);5;151
XS1(11);6;49, 216
XS1(13);7;429, 491
XS1(15);8;76, 555
XS1(2);9;
XS1(4);10;156
XS1(6);11;157
XS1(8);12;155
XS1(10);13;158
XS1(12);14;420, 483
XS1(14);15;421, 484
XS1(16);16;80, 559
XS1(17);17;234, 522, 557
XS1(19);18;159, 182, 254, 493, 507, 516, 546
XS1(21);19;50, 209
XS1(23);20;133, 143, 144, 153, 154, 425, 487, 492, 549
XS1(25);21;35, 37, 99, 246, 266, 292, 300, 306, 313, 319, 343, 350, 366, 372, 380, 386, 419, 427, 456, 494, 497, 502, 503, 508, 517, 523, 532, 536, 541, 542, 548
XS2(1);22;449
XS2(3);23;
XS2(5);24;228
XS1(18);25;226
XS1(20);26;58, 515, 554
XS1(22);27;399
XS1(24);28;291
XS1(26);29;510
XS2(2);30;457
XS2(4);31;235
XS2(6);32;236
XS2(7);33;168
XS2(9);34;482
XS2(11);35;21, 37, 99, 246, 266, 292, 300, 306, 313, 319, 343, 350, 366, 372, 380, 386, 419, 427, 456, 494, 497, 502, 503, 508, 517, 523, 532, 536, 541, 542, 548
XS2(13);36;463, 498, 499
XS2(15);37;21, 35, 99, 246, 266, 292, 300, 306, 313, 319, 343, 350, 366, 372, 380, 386, 419, 427, 456, 494, 497, 502, 503, 508, 517, 523, 532, 536, 541, 542, 548
XS2(17);38;98
XS2(19);39;169
XS2(21);40;210
XS2(8);41;464
XS2(10);42;160
XS2(12);43;465
XS2(14);44;473, 490
XS2(16);45;105
XS2(18);46;106
XS2(20);47;217
XS2(22);48;218
XS2(23);49;6, 216
XS2(25);50;19, 209
XS2(27);51;134
XS2(29);52;361, 468
XS2(31);53;500
XS2(33);54;233, 472
XS2(35);55;486
XS2(37);56;250
XS2(24);57;223
XS2(26);58;26, 515, 554
XS2(28);59;142, 479
XS2(30);60;190
XS2(32);61;524
XS2(34);62;481
XS2(36);63;540
