Разъем;Вывод;Вывод
XS1(1);1;7, 9
XS1(3);2;
XS1(5);3;
XS1(7);4;
XS1(9);5;
XS1(11);6;
XS1(13);7;1, 9
XS1(15);8;
XS1(2);9;1, 7
XS1(4);10;
XS1(6);11;
XS1(8);12;
XS1(10);13;
XS1(12);14;
XS1(14);15;
XS1(16);16;
XS1(17);17;
XS1(19);18;
XS1(21);19;
XS1(23);20;
XS1(25);21;
XS2(1);22;
XS2(3);23;
XS2(5);24;
XS1(18);25;
XS1(20);26;
XS1(22);27;
XS1(24);28;
XS1(26);29;
XS2(2);30;
XS2(4);31;
XS2(6);32;
XS2(7);33;
XS2(9);34;
XS2(11);35;
XS2(13);36;
XS2(15);37;
XS2(17);38;
XS2(19);39;
XS2(21);40;
XS2(8);41;
XS2(10);42;
XS2(12);43;
XS2(14);44;
XS2(16);45;
XS2(18);46;
XS2(20);47;
XS2(22);48;
XS2(23);49;
XS2(25);50;
XS2(27);51;
XS2(29);52;
XS2(31);53;
XS2(33);54;
XS2(35);55;
XS2(37);56;
XS2(24);57;
XS2(26);58;
XS2(28);59;
XS2(30);60;
XS2(32);61;
XS2(34);62;
XS2(36);63;
XS2(38);64;
XS2(39);65;
XS35(2);66;
XS35(4);67;
XS35(6);68;
XS35(8);69;
XS35(10);70;
XS35(12);71;
XS35(14);72;
XS35(1);73;
XS35(3);74;
XS35(5);75;
XS35(7);76;
XS35(9);77;
XS35(11);78;
XS35(13);79;
XS35(15);80;
XS35(16);81;
XS41(2);82;
XS41(4);83;
XS41(6);84;
XS41(8);85;
XS41(10);86;
XS41(12);87;
XS41(14);88;
XS41(1);89;
XS41(3);90;
XS41(5);91;
XS41(7);92;
XS41(9);93;
XS41(11);94;
XS41(13);95;
XS41(15);96;
XS41(16);97;
XS38(2);98;
XS38(4);99;
NC(NC);100;
XS1111(111);101;
NC(NC);102;
NC(NC);103;
NC(NC);104;
XS38(1);105;
XS38(3);106;
NC(NC);107;
NC(NC);108;
NC(NC);109;
NC(NC);110;
NC(NC);111;
NC(NC);112;
NC(NC);113;
NC(NC);114;
NC(NC);115;
NC(NC);116;
NC(NC);117;
NC(NC);118;
NC(NC);119;
NC(NC);120;
NC(NC);121;
NC(NC);122;
NC(NC);123;
NC(NC);124;
NC(NC);125;
NC(NC);126;
NC(NC);127;
NC(NC);128;
XP3(1);129;
XP3(3);130;
XP3(5);131;
XP3(7);132;
XP3(9);133;
XP3(11);134;
XP3(13);135;
XP3(15);136;
XP3(2);137;
XP3(4);138;
XP3(6);139;
XP3(8);140;
XP3(10);141;
XP3(12);142;
XP3(14);143;
XP3(16);144;
XP3(17);145;
XP3(19);146;
XP3(21);147;
XP3(23);148;
XP3(25);149;
XP3(27);150;
XP3(29);151;
XP3(31);152;
XP3(18);153;
XP3(20);154;
XP3(22);155;
XP3(24);156;
XP3(26);157;
XP3(28);158;
XP3(30);159;
XP3(32);160;
XP3(33);161;
XP3(35);162;
XP3(37);163;
XP3(39);164;
XS4(2);165;
XS4(4);166;
XS4(6);167;
XS4(8);168;
XP3(34);169;
XP3(36);170;
XP3(38);171;
XS4(1);172;
XS4(3);173;
XS4(5);174;
XS4(7);175;
XS4(9);176;
XS4(10);177;
