Разъем;Вывод;Вывод
;1;
;2;148
;3;149
;4;147
;5;151
;6;216
;7;429, 491
;8;76, 555
;9;
;10;156
;11;157
;12;155
;13;158
;14;420, 483
;15;421, 484
;16;80, 559
;17;234, 522, 557
;18;159, 254, 493, 507, 516, 546
;19;209
;20;133, 143, 144, 153, 154, 425, 487, 492, 549
;21;99, 246, 266, 292, 300, 306, 313, 319, 342, 350, 366, 372, 380, 386, 419, 427, 456, 494, 497, 502, 503, 508, 517, 523, 532, 536, 541, 542, 548
;22;
;23;
;24;
;25;226
;26;515, 554
;27;399
;28;291
;29;510
;30;
;31;
;32;
;33;
;34;
;35;
;36;
;37;
;38;
;39;
;40;
;41;
;42;
;43;
;44;
;45;
;46;
;47;
;48;
;49;
;50;
;51;
;52;
;53;
;54;
;55;
;56;
;57;
;58;
;59;
;60;
;61;
;62;
;63;
;64;
;65;
;66;212
;67;215
;68;534
;69;521
;70;220
;71;428
;72;267, 422
;73;219
;74;213
;75;475
;76;8, 555
;77;211
;78;221
;79;259, 430
;80;16, 559
;81;514
;82;
;83;
;84;
;85;
;86;
;87;
;88;
;89;505
;90;
;91;
;92;
;93;506
;94;
;95;
;96;
;97;
;98;
;99;21, 246, 266, 292, 300, 306, 313, 319, 342, 350, 366, 372, 380, 386, 419, 427, 456, 494, 497, 502, 503, 508, 517, 523, 532, 536, 541, 542, 548
;100;
;101;
;102;
;103;
;104;
;105;
;106;
;107;
;108;
;109;
;110;
;111;
;112;
;113;
;114;
;115;
;116;
;117;
;118;
;119;
;120;
;121;
;122;
;123;
;124;
;125;
;126;
;127;
;128;
;129;
;130;229, 295
;131;248, 418
;132;327
;133;20, 143, 144, 153, 154, 425, 487, 492, 549
;134;
;135;414
;136;391
;137;
;138;403
;139;335
;140;405
;141;330
;142;479
;143;20, 133, 144, 153, 154, 425, 487, 492, 549
;144;20, 133, 143, 153, 154, 425, 487, 492, 549
;145;400
;146;406
;147;4
;148;2
;149;3
;150;415
;151;5
;152;200, 258
;153;20, 133, 143, 144, 154, 425, 487, 492, 549
;154;20, 133, 143, 144, 153, 425, 487, 492, 549
;155;12
;156;10
;157;11
;158;13
;159;18, 254, 493, 507, 516, 546
;160;
;161;426, 527, 538
;162;
;163;
;164;
;165;
;166;
;167;
;168;
;169;
;170;
;171;
;172;
;173;
;174;
;175;
;176;
;177;
;178;
;179;
;180;
;181;
;182;
;183;
;184;
;185;
;186;
;187;
;188;
;189;
;190;
;191;
;192;
;193;
;194;
;195;
;196;
;197;
;198;
;199;
;200;152, 258
;201;
;202;
;203;
;204;
;205;
;206;
;207;
;208;353
;209;19
;210;
;211;77
;212;66
;213;74
;214;356
;215;67
;216;6
;217;
;218;
;219;73
;220;70
;221;78
;222;364
;223;
;224;308, 322, 329, 370, 376, 383
;225;237
;226;25
;227;252, 552
;228;
;229;130, 295
;230;385
;231;388
;232;387
;233;472
;234;17, 522, 557
;235;
;236;
;237;225
;238;393
;239;396
;240;359
;241;357
;242;360
;243;349
;244;
;245;470
;246;21, 99, 266, 292, 300, 306, 313, 319, 342, 350, 366, 372, 380, 386, 419, 427, 456, 494, 497, 502, 503, 508, 517, 523, 532, 536, 541, 542, 548
;247;410
;248;131, 418
;249;369
;250;
;251;328
;252;227, 552
;253;478
;254;18, 159, 493, 507, 516, 546
;255;416
;256;408
;257;341
;258;152, 200
;259;79, 430
;260;
;261;
;262;
;263;
;264;
;265;363
;266;21, 99, 246, 292, 300, 306, 313, 319, 342, 350, 366, 372, 380, 386, 419, 427, 456, 494, 497, 502, 503, 508, 517, 523, 532, 536, 541, 542, 548
;267;72, 422
;268;
;269;
;270;
;271;
;272;
;273;
;274;
;275;
;276;
;277;
;278;
;279;
;280;
;281;
;282;
;283;
;284;
;285;
;286;
;287;
;288;
;289;488
;290;496
;291;28
;292;21, 99, 246, 266, 300, 306, 313, 319, 342, 350, 366, 372, 380, 386, 419, 427, 456, 494, 497, 502, 503, 508, 517, 523, 532, 536, 541, 542, 548
;293;
;294;
;295;130, 229
;296;
;297;
;298;
;299;
;300;21, 99, 246, 266, 292, 306, 313, 319, 342, 350, 366, 372, 380, 386, 419, 427, 456, 494, 497, 502, 503, 508, 517, 523, 532, 536, 541, 542, 548
;301;
;302;
;303;
;304;
;305;
;306;21, 99, 246, 266, 292, 300, 313, 319, 342, 350, 366, 372, 380, 386, 419, 427, 456, 494, 497, 502, 503, 508, 517, 523, 532, 536, 541, 542, 548
;307;
;308;224, 322, 329, 370, 376, 383
;309;
;310;
;311;
;312;
