Разъем;Вывод;Вывод
;1;
;2;
;3;
;4;
;5;
;6;
;7;
;8;
;9;
;10;
;11;
;12;
;13;
;14;
;15;
;16;
;17;18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32
;18;17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32
;19;17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32
;20;17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32
;21;17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32
;22;17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32
;23;17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32
;24;17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32
;25;17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32
;26;17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32
;27;17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32
;28;17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32
;29;17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32
;30;17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32
;31;17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32
;32;17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31
